166,1h 23m,6.1,206,50,6.2
168,2h 14m,6.0,227,49,6.5
169,1h 35m,5.1,31,20,6.8
170,1h 45m,6.2,284,88,6.5
171,1h 32m,6.8,60,17,6.7
172,1h 43m,5.6,198,102,6.6
173,1h 36m,5.6,308,117,6.9
174,1h 28m,4.3,44,15,7.3
175,1h 31m,7.0,455,73,5.3
176,1h 30m,7.5,95,46,7.2
177,1h 49m,6.0,98,84,5.6
178,1h 40m,6.6,20,18,6.9
179,1h 33m,5.3,57,15,7.1
180,1h 34m,7.0,467,89,6.1
181,1h 35m,5.3,153,80,7.1
183,1h 35m,6.7,72,46,6.0
184,1h 33m,6.0,50,27,6.4
185,1h 54m,6.0,239,59,6.5
186,1h 43m,5.5,115,33,6.3
187,1h 34m,6.5,44,35,7.4
188,1h 38m,6.4,227,64,5.1
189,1h 31m,5.1,21,7,6.4
190,1h 59m,7.1,155,62,7.2
191,2h 15m,5.3,112,24,6.0
193,2h 8m,5.0,554,154,6.9
194,1h 52m,7.4,87,40,6.2
195,1h 46m,5.7,47,26,6.9
196,1h 48m,5.9,191,122,6.6
198,2h 25m,7.2,279,100,6.6
199,1h 31m,7.8,183,134,6.6
201,1h 55m,6.1,37,17,7.0
202,1h 51m,6.5,88,21,7.1
203,1h 49m,6.7,148,36,6.7
204,1h 40m,5.5,168,76,5.9
205,1h 33m,6.7,32,27,6.3
206,1h 13m,6.4,15,13,6.6
207,1h 42m,6.7,138,23,6.0
208,2h 15m,6.3,462,119,7.0
209,1h 29m,5.3,52,11,6.0
210,1h 38m,5.8,69,36,6.4
211,1h 37m,7.2,34,17,6.0
212,1h 30m,5.6,28,15,6.8
213,2h 15m,7.8,84,18,5.9
214,1h 53m,7.9,79,22,7.0
215,1h 41m,8.1,629,148,6.7
216,1h 29m,6.3,280,28,7.0
217,1h 30m,4.3,53,12,7.7
218,1h 55m,6.5,59,30,7.0
219,1h 37m,7.7,77,22,7.0
220,1h 30m,5.9,116,110,5.6
222,1h 43m,6.6,56,17,6.4
223,1h 32m,7.7,682,134,6.1
224,1h 37m,6.7,150,32,6.5
225,2h 8m,6.2,117,42,6.9
